realtime_start;realtime_end;date;value
23 December 2019;2019-12-23;24/10/1977;7.75
23 December 2019;2019-12-23;10/1/1978;8
23 December 2019;2019-12-23;5/5/1978;8.25
23 December 2019;2019-12-23;26/5/1978;8.5
23 December 2019;2019-12-23;16/6/1978;8.75
23 December 2019;2019-12-23;30/6/1978;9
23 December 2019;2019-12-23;1/9/1978;9.25
23 December 2019;2019-12-23;15/9/1978;9.5
23 December 2019;2019-12-23;28/9/1978;9.75
23 December 2019;2019-12-23;13/10/1978;10
23 December 2019;2019-12-23;27/10/1978;10.25
23 December 2019;2019-12-23;1/11/1978;10.5
23 December 2019;2019-12-23;6/11/1978;10.75
23 December 2019;2019-12-23;17/11/1978;11
23 December 2019;2019-12-23;24/11/1978;11.5
23 December 2019;2019-12-23;26/12/1978;11.75
23 December 2019;2019-12-23;19/6/1979;11.5
23 December 2019;2019-12-23;27/7/1979;11.75
23 December 2019;2019-12-23;16/8/1979;12
23 December 2019;2019-12-23;28/8/1979;12.25
23 December 2019;2019-12-23;7/9/1979;12.75
23 December 2019;2019-12-23;14/9/1979;13
23 December 2019;2019-12-23;20/9/1979;13.25
23 December 2019;2019-12-23;28/9/1979;13.5
23 December 2019;2019-12-23;9/10/1979;14.5
23 December 2019;2019-12-23;24/10/1979;15
23 December 2019;2019-12-23;1/11/1979;15.25
23 December 2019;2019-12-23;9/11/1979;15.5
23 December 2019;2019-12-23;16/11/1979;15.75
23 December 2019;2019-12-23;30/11/1979;15.5
23 December 2019;2019-12-23;7/12/1979;15.25
23 December 2019;2019-12-23;19/2/1980;15.75
23 December 2019;2019-12-23;22/2/1980;16.5
23 December 2019;2019-12-23;29/2/1980;16.75
23 December 2019;2019-12-23;4/3/1980;17.25
23 December 2019;2019-12-23;7/3/1980;17.75
23 December 2019;2019-12-23;14/3/1980;18.5
23 December 2019;2019-12-23;19/3/1980;19
23 December 2019;2019-12-23;28/3/1980;19.5
23 December 2019;2019-12-23;2/4/1980;20
23 December 2019;2019-12-23;18/4/1980;19.5
23 December 2019;2019-12-23;1/5/1980;18.5
23 December 2019;2019-12-23;7/5/1980;17.5
23 December 2019;2019-12-23;16/5/1980;16.5
23 December 2019;2019-12-23;23/5/1980;14.5
23 December 2019;2019-12-23;28/5/1980;14
23 December 2019;2019-12-23;6/6/1980;13
23 December 2019;2019-12-23;13/6/1980;12.5
23 December 2019;2019-12-23;17/6/1980;12
23 December 2019;2019-12-23;7/7/1980;11.5
23 December 2019;2019-12-23;23/7/1980;11
